"countries","rank","gdp billinors"
"India","6","17,734.1"
"India","6","4,937.4"
"India","6","4,223.1"
"India","6","3,186.9"
"India","6","3,173.4"
"India","6","2,937.5"
"India","6","2,099.9"
"India","6","1,990.8"
"India","6","1,798.5"
"India","6","1,775.8"
"India","6","1,609.0"
"India","6","1,542.7"
"India","6","1,425.3"
"India","6","1,293.0"
"India","6","1,186.1"
"India","6","1,018.0"
"India","6","833.5"
"India","6","815.3"
"India","6","812.9"
"India","6","674.0"
"India","6","627.4"
"India","6","599.9"
"India","6","506.0"
"India","6","498.6"
"India","6","491.5"
"India","6","482.4"
"India","6","482.4"
"India","6","481.6"
"India","6","477.1"
"India","6","440.8"
"India","6","419.9"
"India","6","416.3"
"India","6","404.1"
"India","6","397.1"
"India","6","397.0"
"India","6","394.1"
"India","6","372.7"
"India","6","368.1"
"India","6","362.6"
"India","6","358.9"
"India","6","346.3"
"India","6","317.1"
"India","6","314.3"
"India","6","299.2"
"India","6","284.1"
"India","6","282.3"
"India","6","250.0"
"India","6","249.9"
"India","6","231.5"
"France","7","22,996.1"
"France","7","17,734.1"
"France","7","4,937.4"
"France","7","4,223.1"
"France","7","3,186.9"
"France","7","3,173.4"
"France","7","2,937.5"
"France","7","2,099.9"
"France","7","1,990.8"
"France","7","1,798.5"
"France","7","1,775.8"
"France","7","1,609.0"
"France","7","1,542.7"
"France","7","1,425.3"
"France","7","1,293.0"
"France","7","1,186.1"
"France","7","1,018.0"
"France","7","833.5"
"France","7","815.3"
"France","7","812.9"
"France","7","674.0"
"France","7","627.4"
"France","7","599.9"
"France","7","506.0"
"France","7","498.6"
"France","7","491.5"
"France","7","482.4"
"France","7","482.4"
"France","7","481.6"
"France","7","477.1"
"France","7","440.8"
"France","7","419.9"
"France","7","416.3"
"France","7","404.1"
"France","7","397.1"
"France","7","397.0"
"France","7","394.1"
"France","7","372.7"
"France","7","368.1"
"France","7","362.6"
"France","7","358.9"
"France","7","346.3"
"France","7","317.1"
"France","7","314.3"
"France","7","299.2"
"France","7","284.1"
"France","7","282.3"
"France","7","250.0"
"France","7","249.9"
"France","7","231.5"
"Italy","8","22,996.1"
"Italy","8","17,734.1"
"Italy","8","4,937.4"
"Italy","8","4,223.1"
"Italy","8","3,186.9"
"Italy","8","3,173.4"
"Italy","8","2,937.5"
"Italy","8","2,099.9"
"Italy","8","1,990.8"
"Italy","8","1,798.5"
"Italy","8","1,775.8"
"Italy","8","1,609.0"
"Italy","8","1,542.7"
"Italy","8","1,425.3"
"Italy","8","1,293.0"
"Italy","8","1,186.1"
"Italy","8","1,018.0"
"Italy","8","833.5"
"Italy","8","815.3"
"Italy","8","812.9"
"Italy","8","674.0"
"Italy","8","627.4"
"Italy","8","599.9"
"Italy","8","506.0"
"Italy","8","498.6"
"Italy","8","491.5"
"Italy","8","482.4"
"Italy","8","482.4"
"Italy","8","481.6"
"Italy","8","477.1"
"Italy","8","440.8"
"Italy","8","419.9"
"Italy","8","416.3"
"Italy","8","404.1"
"Italy","8","397.1"
"Italy","8","397.0"
"Italy","8","394.1"
"Italy","8","372.7"
"Italy","8","368.1"
"Italy","8","362.6"
"Italy","8","358.9"
"Italy","8","346.3"
"Italy","8","317.1"
"Italy","8","314.3"
"Italy","8","299.2"
"Italy","8","284.1"
"Italy","8","282.3"
"Italy","8","250.0"
"Italy","8","249.9"
"Italy","8","231.5"
"Canada","9","22,996.1"
"Canada","9","17,734.1"
"Canada","9","4,937.4"
"Canada","9","4,223.1"
"Canada","9","3,186.9"
"Canada","9","3,173.4"
"Canada","9","2,937.5"
"Canada","9","2,099.9"
"Canada","9","1,990.8"
"Canada","9","1,798.5"
"Canada","9","1,775.8"
"Canada","9","1,609.0"
"Canada","9","1,542.7"
"Canada","9","1,425.3"
"Canada","9","1,293.0"
"Canada","9","1,186.1"
"Canada","9","1,018.0"
"Canada","9","833.5"
"Canada","9","815.3"
"Canada","9","812.9"
"Canada","9","674.0"
"Canada","9","627.4"
"Canada","9","599.9"
"Canada","9","506.0"
"Canada","9","498.6"
"Canada","9","491.5"
"Canada","9","482.4"
"Canada","9","482.4"
"Canada","9","481.6"
"Canada","9","477.1"
"Canada","9","440.8"
"Canada","9","419.9"
"Canada","9","416.3"
"Canada","9","404.1"
"Canada","9","397.1"
"Canada","9","397.0"
"Canada","9","394.1"
"Canada","9","372.7"
"Canada","9","368.1"
"Canada","9","362.6"
"Canada","9","358.9"
"Canada","9","346.3"
"Canada","9","317.1"
"Canada","9","314.3"
"Canada","9","299.2"
"Canada","9","284.1"
"Canada","9","282.3"
"Canada","9","250.0"
"Canada","9","249.9"
"Canada","9","231.5"
"South Korea","10","22,996.1"
"South Korea","10","17,734.1"
"South Korea","10","4,937.4"
"South Korea","10","4,223.1"
"South Korea","10","3,186.9"
"South Korea","10","3,173.4"
"South Korea","10","2,937.5"
"South Korea","10","2,099.9"
"South Korea","10","1,990.8"
"South Korea","10","1,798.5"
"South Korea","10","1,775.8"
"South Korea","10","1,609.0"
"South Korea","10","1,542.7"
"South Korea","10","1,425.3"
"South Korea","10","1,293.0"
"South Korea","10","1,186.1"
"South Korea","10","1,018.0"
"South Korea","10","833.5"
"South Korea","10","815.3"
"South Korea","10","812.9"
"South Korea","10","674.0"
"South Korea","10","627.4"
"South Korea","10","599.9"
"South Korea","10","506.0"
"South Korea","10","498.6"
"South Korea","10","491.5"
"South Korea","10","482.4"
"South Korea","10","482.4"
"South Korea","10","481.6"
"South Korea","10","477.1"
"South Korea","10","440.8"
"South Korea","10","419.9"
"South Korea","10","416.3"
"South Korea","10","404.1"
"South Korea","10","397.1"
"South Korea","10","397.0"
"South Korea","10","394.1"
"South Korea","10","372.7"
"South Korea","10","368.1"
"South Korea","10","362.6"
"South Korea","10","358.9"
"South Korea","10","346.3"
"South Korea","10","317.1"
"South Korea","10","314.3"
"South Korea","10","299.2"
"South Korea","10","284.1"
"South Korea","10","282.3"
"South Korea","10","250.0"
"South Korea","10","249.9"
"South Korea","10","231.5"
"Russia","11","22,996.1"
"Russia","11","17,734.1"
"Russia","11","4,937.4"
"Russia","11","4,223.1"
